Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
6.219995,10.88098,4.485137,3.501194,-0.0002414923,-1.82941,-2.301162E-05
6.319995,10.93043,4.417573,3.483148,-0.0002442767,1.120261,-1.389775E-05
6.419995,10.92897,4.407032,3.47158,-0.000245594,4.090312,-4.90937E-06
6.519995,10.87661,4.453365,3.488608,-0.000245671,7.068148,3.743467E-06
6.619995,10.7726,4.556346,2.371184,-0.0002448412,8.944396,1.191826E-05
6.719995,10.6283,4.699618,1.063064,-0.0002431953,9.336079,1.941095E-05
6.819994,10.46506,4.85967,0.3775657,-0.0002404047,9.334035,2.624811E-05
6.919994,10.29564,5.023094,0.162816,-0.0002362866,9.268344,3.244692E-05
7.019994,10.12628,5.183558,0.2006522,-0.000230846,9.205213,3.80364E-05
7.119994,9.959825,5.338308,0.3532681,-0.0002241488,9.139558,4.302852E-05
7.219994,9.797694,5.486111,0.5526432,-0.0002163047,9.056311,4.743709E-05
7.319994,9.640764,5.626309,0.769766,-0.0002074296,8.944755,5.134292E-05
7.419994,9.489749,5.758451,0.9934658,-0.0001976378,8.799266,5.470893E-05
7.519994,9.345304,5.882162,1.219536,-0.0001870488,8.6175,5.759527E-05
7.619994,9.208067,5.997116,1.445975,-0.0001757483,8.398862,6.006461E-05
7.719994,9.07865,6.103034,1.671183,-0.0001638548,8.143624,6.206923E-05
7.819993,8.957627,6.199682,1.893402,-0.0001514513,7.852534,6.370466E-05
7.919993,8.845531,6.286877,2.110595,-0.000138648,7.526612,6.498123E-05
8.019994,8.742839,6.364484,2.320518,-0.0001255366,7.167126,6.594747E-05
8.119996,8.649968,6.432419,2.520763,-0.0001121902,6.775552,6.660758E-05
8.219998,8.567267,6.490645,2.708876,-9.873494E-05,6.353588,6.696632E-05
8.320001,8.495019,6.539162,2.882419,-8.524673E-05,5.903147,6.706738E-05
8.420003,8.433431,6.578018,3.039065,-7.180013E-05,5.426362,6.693394E-05
8.520005,8.382633,6.607292,3.176669,-5.851454E-05,4.925572,6.660957E-05
8.620008,8.344559,6.625618,4.353144,-4.544668E-05,5.378694,6.614642E-05
8.72001,8.309944,6.640854,5.580162,-3.277312E-05,6.705252,6.547086E-05
8.820012,8.266107,6.663455,6.48326,-2.05569E-05,8.344027,6.458485E-05
8.920014,8.204812,6.700133,7.078534,-8.852488E-06,10.05258,6.34138E-05
9.020017,8.121239,6.754561,7.134064,2.375657E-06,11.52455,6.198298E-05
9.120019,8.015076,6.826574,6.303077,1.321201E-05,11.79895,6.010666E-05
9.220021,7.898508,6.906077,5.58907,2.36765E-05,11.42691,5.8008E-05
