Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
35.52062,9.147132,1.472395,5.651175,2.010231,8.913361,0.7770226
35.62062,9.058559,1.544657,4.54495,1.974937,9.834153,0.7777009
35.72063,8.945054,1.637471,3.48801,1.949214,9.763971,0.7771139
35.82063,8.822268,1.736494,2.877663,1.929824,9.360273,0.7753946
35.92063,8.700541,1.832658,2.650988,1.914353,8.870099,0.7727322
36.02063,8.585728,1.921121,2.663821,1.901219,8.366574,0.769187
36.12064,8.480868,1.999608,2.800584,1.889408,7.860106,0.7647535
36.22064,8.387456,2.067195,2.988719,1.878184,7.344036,0.7593977
36.32064,8.306209,2.123614,3.187828,1.866978,6.810597,0.7530848
36.42064,8.237455,2.168883,3.376925,1.855362,6.255036,0.7457858
36.52065,8.181345,2.203149,3.54545,1.842825,5.675704,0.7374827
36.62065,8.137885,2.226611,3.688048,1.829036,5.073201,0.7281678
36.72065,8.107019,2.239495,3.801881,1.8136,4.44955,0.7178454
36.82065,8.088598,2.242043,3.885392,1.79626,3.807607,0.7065293
36.92065,8.082404,2.234511,3.937817,1.776732,3.150711,0.6942421
37.02066,8.088156,2.217161,3.958999,1.754837,2.482467,0.6810153
37.12066,8.106111,2.189704,4.289813,1.73025,2.01814,0.6670229
37.22066,8.135565,2.152812,5.38895,1.702886,2.695738,0.6537392
37.32066,8.164261,2.116605,6.337564,1.675385,3.984561,0.6424919
37.42067,8.181086,2.090235,6.964542,1.65032,5.498996,0.6338308
37.52067,8.178994,2.079594,7.33133,1.629421,7.07332,0.627857
37.62067,8.154318,2.08772,7.54541,1.613747,8.645715,0.6245037
37.72067,8.105637,2.115603,7.69575,1.603994,10.19667,0.6236635
37.82067,8.032351,2.163377,7.502328,1.600751,11.51051,0.6247048
37.92068,7.935862,2.229107,6.551629,1.604352,11.66776,0.6242049
38.02068,7.828797,2.302169,5.775538,1.612647,11.20565,0.6219029
38.12068,7.722558,2.373359,5.34844,1.623247,10.50394,0.6181814
38.22068,7.624839,2.436763,5.212976,1.634243,9.721261,0.6132528
38.32069,7.540246,2.4891,5.263482,1.644212,8.913415,0.6072016
38.42069,7.471263,2.528813,5.408112,1.652084,8.093925,0.6000616
38.52069,7.419034,2.555362,5.582018,1.657049,7.262111,0.5918515
38.62069,7.383906,2.56875,5.744141,1.658524,6.414744,0.582585
38.7207,7.365756,2.569261,5.870553,1.656108,5.550076,0.5722847
38.8207,7.364192,2.557301,5.94861,1.649483,4.668697,0.5609761
38.9207,7.37865,2.533324,5.972815,1.638476,3.773239,0.548694
39.0207,7.408458,2.497791,5.942169,1.623007,2.867806,0.5354772
39.1207,7.452867,2.451154,5.85853,1.6031,1.957413,0.5213717
39.22071,7.511091,2.39384,5.725597,1.578867,1.047565,0.5064269
39.32071,7.582306,2.326258,5.548262,1.550457,0.1439225,0.4906988
39.42071,7.665684,2.248789,5.332131,1.518087,-0.7479221,0.4742476
39.52071,7.760379,2.161794,5.08319,1.482051,-1.622613,0.4571383
39.62072,7.86557,2.065617,4.807488,1.442654,-2.47515,0.4394414
39.72072,7.980439,1.960581,4.510933,1.400172,-3.300968,0.4212299
39.82072,8.10418,1.847003,4.199096,1.355021,-4.095999,0.4025842
39.92072,8.236024,1.72519,3.877096,1.30749,-4.856688,0.3835871
40.02073,8.375212,1.59545,3.549495,1.257956,-5.580024,0.3643269
40.12073,8.521015,1.45809,3.220275,1.206742,-6.263526,0.3448959
40.22073,8.672722,1.313426,2.892827,1.154207,-6.905216,0.3253863
40.32073,8.829658,1.161786,2.569961,1.100652,-7.503608,0.3058946
40.42073,8.992634,1.00176,3.141847,1.046196,-7.29544,0.2862281
40.52074,9.155154,0.8401819,4.08133,0.9917396,-5.857476,0.2675177
40.62074,9.302032,0.6919761,4.698842,0.9392568,-3.927522,0.2512532
40.72074,9.422207,0.5683894,4.981871,0.8899995,-1.821926,0.2379191
40.82074,9.509171,0.4764831,5.05949,0.8446117,0.3447527,0.2275811
40.92075,9.559613,0.4200976,5.049667,0.8033816,2.538699,0.2201726
41.02075,9.572167,0.4008987,5.026135,0.7664576,4.750289,0.2155934
41.12075,9.545311,0.4205288,4.042101,0.7339984,6.10196,0.2131291
41.22075,9.48584,0.4694743,2.786473,0.7055925,6.19153,0.2111827
41.32076,9.411131,0.5309732,2.002281,0.6798858,5.879619,0.2093477
41.42076,9.333055,0.5942338,1.64504,0.6559466,5.482775,0.2075464
41.52076,9.25806,0.6536009,1.549508,0.6332639,5.090178,0.20576
41.62076,9.189219,0.7065109,1.584466,0.6115857,4.712105,0.2039745
41.72076,9.127856,0.7519598,1.6721,0.5907668,4.339117,0.2021717
41.82077,9.074504,0.789636,1.772926,0.5707768,3.961456,0.2003295
41.92077,9.02935,0.8195019,1.869126,0.5515328,3.573286,0.1984256
42.02077,8.992468,0.8416157,1.95349,0.5329912,3.17228,0.1964404
42.12077,8.96385,0.8560672,2.023408,0.5151269,2.758345,0.1943567
42.22078,8.943471,0.8629584,2.07805,0.4978693,2.332611,0.1921619
42.32078,8.931436,0.8621418,2.293674,0.4812155,1.986844,0.1898606
42.42078,8.928878,0.8530691,3.554719,0.4649906,2.910198,0.1879668
42.52078,8.923571,0.8477108,4.682512,0.4498681,4.614923,0.1871466
42.62078,8.902063,0.8578472,5.420372,0.4366418,6.564909,0.1876132
42.72079,8.856146,0.8903619,5.853588,0.4257891,8.55173,0.1893421
42.82079,8.781925,0.9481016,6.119985,0.417585,10.50787,0.1922417
42.92079,8.678264,1.03124,6.32474,0.4121907,12.41635,0.1962102
43.02079,8.545585,1.138336,6.531754,0.4097667,14.27298,0.2011583
43.1208,8.385206,1.266999,6.775916,0.4104166,16.07346,0.2069938
43.2208,8.198478,1.414695,6.724379,0.4143257,17.59068,0.2133515
43.3208,7.98809,1.576963,5.942725,0.421674,17.87639,0.2185126
43.4208,7.768141,1.741431,5.396488,0.4319178,17.5125,0.222545
43.52081,7.551344,1.898129,5.247424,0.444484,16.88852,0.2257351
43.62081,7.346446,2.040916,5.427148,0.458777,16.15928,0.2282163
43.72081,7.159055,2.166504,5.824689,0.4742653,15.376,0.2300463
43.82081,6.992654,2.273403,6.343675,0.490442,14.54925,0.231239
43.92081,6.849343,2.361183,6.912049,0.5068134,13.67658,0.231797
44.02082,6.730304,2.430011,7.477971,0.5228965,12.75354,0.2317236
44.12082,6.636087,2.480388,8.003939,0.5381829,11.7775,0.2310251
44.22082,6.566738,2.512998,8.462386,0.5522445,10.7485,0.229714
44.32082,6.522113,2.528487,8.868355,0.5646763,9.667768,0.2278044
44.42083,6.503208,2.526513,9.28753,0.5749711,8.52689,0.2253052
44.52083,6.510788,2.506694,9.649865,0.5827102,7.31512,0.222225
44.62083,6.544533,2.469224,9.884725,0.5876201,6.029287,0.2185774
44.72083,6.603083,2.414857,9.936112,0.5896086,4.676721,0.2143836
44.82084,6.684147,2.344884,9.767125,0.588736,3.276196,0.2096695
44.92084,6.784629,2.261107,9.362044,0.5852436,1.857489,0.2044638
45.02084,6.900776,2.165793,8.726145,0.579424,0.4597596,0.1987952
45.12084,7.028718,2.06131,7.960049,0.5716372,-0.8741983,0.1926916
45.22084,7.168899,1.946586,7.940356,0.5619156,-1.628408,0.1861825
45.32085,7.317409,1.823601,8.355227,0.5505643,-1.438053,0.1794836
45.42085,7.463877,1.699833,8.689196,0.5384799,-0.7492033,0.1729025
45.52085,7.600583,1.581414,8.903476,0.5263008,0.1873755,0.1666362
45.62085,7.722497,1.47283,8.959829,0.514441,1.239677,0.1607907
45.72086,7.825669,1.37798,8.857993,0.5031906,2.354015,0.1554239
